ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
4	amendoim_pp	el	20_30	b1	1.57	1.79	87.42	267	102	631	0.12	0.28	0.4	2.7	0.54	0.34	0.62	0.03	3	13	4.4	0.6	7	6	22	5.94	10.22	0.03	0.32	0.55
4	amendoim_pp	el	20_30	b2	1.66	1.8	92.39	267	102	631	0.1	0.29	0.39	2.7	1.22	0.43	0.79	0.03	1	8	5.9	0.6	8	5	20	5.5	9.46	0.00	0.00	0.00
4	amendoim_pp	el	20_30	b3	1.76	1.8	97.7	267	102	631	0.05	0.3	0.35	2.7	0.88	0.26	0.46	0.02	2	10	4.9	0.6	9	6	18	5.06	8.7	0.05	0.47	0.81
4	amendoim_pp	el	30_70	b1	1.65	1.76	94.12	322	107	571	0.04	0.34	0.39	2.69	0.7	0.39	0.89	0.02	1.5	10	4.7	0.6	10	5.5	20	5.12	32.96	0.03	0.32	2.06
4	amendoim_pp	el	30_70	b2	1.62	1.76	92.02	322	107	571	0.07	0.33	0.4	2.69	0.75	0.31	0.96	0.02	1	8	5.1	0.5	8	5	19	4.43	28.53	0.05	0.53	3.41
4	amendoim_pp	el	30_70	b3	1.59	1.75	90.49	322	107	571	0.09	0.32	0.41	2.69	0.88	0.24	0.36	0.02	2	12	4.7	0.7	10	6	18	5.49	35.37	0.05	0.53	3.39
4	amendoim_pp	l	0_20	b1	1.54	1.82	84.51	224.4	102.8	673	0.12	0.31	0.43	2.69	0.81	0.43	3.22	0.04	7.4	15.6	4.3	2.14	4.4	4.6	25	6.94	13.54	0.59	5.87	0.64
4	amendoim_pp	l	0_20	b2	1.76	1.83	95.93	224.4	102.8	673	0.08	0.28	0.36	2.69	0.75	0.39	2.36	0.03	2.3	12.9	4.91	1.76	6.7	4.6	19.2	5.29	11.98	0.54	5.37	0.53
4	amendoim_pp	l	0_20	b3	1.53	1.82	83.91	224.4	102.8	673	0.08	0.34	0.41	2.69	1.02	0.38	2.87	0.04	7	13.9	4.44	1.9	6.9	5	20.7	6.84	13.8	0.63	6.34	0.66
4	amendoim_pp	l	20_30	b1	1.53	1.79	85.06	267	102	631	0.12	0.32	0.44	2.7	0.9	0.46	3.33	0.03	8	12	4.2	1.9	2	4	25	6.2	9.67	0.43	4.33	0.70
